,Date,Close,Gross_Profit,ROE
1416,2016-07-14,24.6975,16106,0.38
1417,2016-07-15,24.695,16106,0.38
1418,2016-07-18,24.9575,16106,0.38
1419,2016-07-19,24.967501,16106,0.38
1420,2016-07-20,24.99,16106,0.38
1421,2016-07-21,24.8575,16106,0.38
1422,2016-07-22,24.665001,16106,0.38
1423,2016-07-25,24.334999,16106,0.38
1424,2016-07-26,24.1675,16106,0.38
1425,2016-07-27,25.737499,16106,0.38
1426,2016-07-28,26.084999,16106,0.38
1427,2016-07-29,26.0525,16106,0.38
1428,2016-08-01,26.512501,16106,0.38
1429,2016-08-02,26.120001,16106,0.38
1430,2016-08-03,26.4475,16106,0.38
1431,2016-08-04,26.467501,16106,0.38
1432,2016-08-05,26.870001,16106,0.38
1433,2016-08-08,27.092501,16106,0.38
1434,2016-08-09,27.202499,16106,0.38
1435,2016-08-10,27.0,16106,0.38
1436,2016-08-11,26.9825,16106,0.38
1437,2016-08-12,27.045,16106,0.38
1438,2016-08-15,27.370001,16106,0.38
1439,2016-08-16,27.344999,16106,0.38
1440,2016-08-17,27.305,16106,0.38
1441,2016-08-18,27.27,16106,0.38
1442,2016-08-19,27.34,16106,0.38
1443,2016-08-22,27.127501,16106,0.38
1444,2016-08-23,27.2125,16106,0.38
1445,2016-08-24,27.0075,16106,0.38
1446,2016-08-25,26.8925,16106,0.38
1447,2016-08-26,26.735001,16106,0.38
1448,2016-08-29,26.705,16106,0.38
1449,2016-08-30,26.5,16106,0.38
1450,2016-08-31,26.525,16106,0.38
1451,2016-09-01,26.682501,16106,0.38
1452,2016-09-02,26.932501,16106,0.38
1453,2016-09-06,26.924999,16106,0.38
1454,2016-09-07,27.09,16106,0.38
1455,2016-09-08,26.379999,16106,0.38
1456,2016-09-09,25.782499,16106,0.38
1457,2016-09-12,26.360001,16106,0.38
1458,2016-09-13,26.987499,16106,0.38
1459,2016-09-14,27.942499,16106,0.38
1460,2016-09-15,28.8925,16106,0.38
1461,2016-09-16,28.73,16106,0.38
1462,2016-09-19,28.395,16106,0.38
1463,2016-09-20,28.3925,16106,0.38
1464,2016-09-21,28.387501,16106,0.38
1465,2016-09-22,28.655001,16106,0.38
1466,2016-09-23,28.1775,16106,0.38
1467,2016-09-26,28.219999,16106,0.38
1468,2016-09-27,28.272499,16106,0.38
1469,2016-09-28,28.487499,16106,0.38
1470,2016-09-29,28.045,16106,0.38
1471,2016-09-30,28.262501,17813,0.36
1472,2016-10-03,28.129999,17813,0.36
1473,2016-10-04,28.25,17813,0.36
1474,2016-10-05,28.262501,17813,0.36
1475,2016-10-06,28.4725,17813,0.36
1476,2016-10-07,28.514999,17813,0.36
1477,2016-10-10,29.012501,17813,0.36
1478,2016-10-11,29.075001,17813,0.36
1479,2016-10-12,29.334999,17813,0.36
1480,2016-10-13,29.245001,17813,0.36
1481,2016-10-14,29.407499,17813,0.36
1482,2016-10-17,29.387501,17813,0.36
1483,2016-10-18,29.3675,17813,0.36
1484,2016-10-19,29.280001,17813,0.36
1485,2016-10-20,29.264999,17813,0.36
1486,2016-10-21,29.15,17813,0.36
1487,2016-10-24,29.4125,17813,0.36
1488,2016-10-25,29.5625,17813,0.36
1489,2016-10-26,28.897499,17813,0.36
1490,2016-10-27,28.620001,17813,0.36
