Date,Close,Gross_Profit,ROE,ROI,PE_ratio,PS_ratio
1/20/15,27.18,29741,0.37,,13.39,3
1/21/15,27.387501,29741,0.37,,13.39,3
1/22/15,28.1,29741,0.37,,13.39,3
1/23/15,28.245001,29741,0.37,,13.39,3
1/26/15,28.275,29741,0.37,,13.39,3
1/27/15,27.285,29741,0.37,,13.39,3
1/28/15,28.827499,29741,0.37,,13.39,3
1/29/15,29.725,29741,0.37,,13.39,3
1/30/15,29.290001,29741,0.37,,13.39,3
2/2/15,29.657499,29741,0.37,,13.39,3
2/3/15,29.6625,29741,0.37,,13.39,3
2/4/15,29.889999,29741,0.37,,13.39,3
2/5/15,29.985001,29741,0.37,,13.39,3
2/6/15,29.7325,29741,0.37,,13.39,3
2/9/15,29.93,29741,0.37,,13.39,3
2/10/15,30.504999,29741,0.37,,13.39,3
2/11/15,31.219999,29741,0.37,,13.39,3
2/12/15,31.615,29741,0.37,,13.39,3
2/13/15,31.77,29741,0.37,,13.39,3
2/17/15,31.9575,29741,0.37,,13.39,3
2/18/15,32.18,29741,0.37,,13.39,3
2/19/15,32.112499,29741,0.37,,13.39,3
2/20/15,32.375,29741,0.37,,13.39,3
2/23/15,33.25,29741,0.37,,13.39,3
2/24/15,33.0425,29741,0.37,,13.39,3
2/25/15,32.197498,29741,0.37,,13.39,3
2/26/15,32.605,29741,0.37,,13.39,3
2/27/15,32.115002,29741,0.37,,13.39,3
3/2/15,32.272499,29741,0.37,,13.39,3
3/3/15,32.34,29741,0.37,,13.39,3
3/4/15,32.134998,29741,0.37,,13.39,3
3/5/15,31.602501,29741,0.37,,13.39,3
3/6/15,31.65,29741,0.37,,13.39,3
3/9/15,31.785,29741,0.37,,13.39,3
3/10/15,31.127501,29741,0.37,,13.39,3
3/11/15,30.559999,29741,0.37,,13.39,3
3/12/15,31.112499,29741,0.37,,13.39,3
3/13/15,30.897499,29741,0.37,,13.39,3
3/16/15,31.237499,29741,0.37,,13.39,3
3/17/15,31.76,29741,0.37,,13.39,3
3/18/15,32.1175,29741,0.37,,13.39,3
3/19/15,31.875,29741,0.37,,13.39,3
3/20/15,31.475,29741,0.37,,13.39,3
3/23/15,31.8025,29741,0.37,,13.39,3
3/24/15,31.672501,29741,0.37,,13.39,3
3/25/15,30.844999,29741,0.37,,13.39,3
3/26/15,31.059999,29741,0.37,,13.39,3
3/27/15,30.8125,29741,0.37,,13.39,3
3/30/15,31.592501,29741,0.37,,13.39,3
3/31/15,31.1075,23656,0.39,,13.9,3.15
4/1/15,31.0625,23656,0.39,,13.9,3.15
4/2/15,31.33,23656,0.39,,13.9,3.15
4/6/15,31.8375,23656,0.39,,13.9,3.15
4/7/15,31.502501,23656,0.39,,13.9,3.15
4/8/15,31.4,23656,0.39,,13.9,3.15
4/9/15,31.639999,23656,0.39,,13.9,3.15
4/10/15,31.775,23656,0.39,,13.9,3.15
4/13/15,31.7125,23656,0.39,,13.9,3.15
4/14/15,31.575001,23656,0.39,,13.9,3.15
4/15/15,31.695,23656,0.39,,13.9,3.15
4/16/15,31.5425,23656,0.39,,13.9,3.15
4/17/15,31.1875,23656,0.39,,13.9,3.15
4/20/15,31.9,23656,0.39,,13.9,3.15
4/21/15,31.727501,23656,0.39,,13.9,3.15
4/22/15,32.154999,23656,0.39,,13.9,3.15
4/23/15,32.4175,23656,0.39,,13.9,3.15
4/24/15,32.57,23656,0.39,,13.9,3.15
4/27/15,33.162498,23656,0.39,,13.9,3.15
4/28/15,32.639999,23656,0.39,,13.9,3.15
4/29/15,32.16,23656,0.39,,13.9,3.15
4/30/15,31.2875,23656,0.39,,13.9,3.15
5/1/15,32.237499,23656,0.39,,13.9,3.15
5/4/15,32.174999,23656,0.39,,13.9,3.15
5/5/15,31.450001,23656,0.39,,13.9,3.15
5/6/15,31.252501,23656,0.39,,13.9,3.15
5/7/15,31.315001,23656,0.39,,13.9,3.15
5/8/15,31.905001,23656,0.39,,13.9,3.15
5/11/15,31.58,23656,0.39,,13.9,3.15
5/12/15,31.467501,23656,0.39,,13.9,3.15
5/13/15,31.502501,23656,0.39,,13.9,3.15
5/14/15,32.237499,23656,0.39,,13.9,3.15
5/15/15,32.192501,23656,0.39,,13.9,3.15
5/18/15,32.547501,23656,0.39,,13.9,3.15
5/19/15,32.517502,23656,0.39,,13.9,3.15
5/20/15,32.514999,23656,0.39,,13.9,3.15
5/21/15,32.8475,23656,0.39,,13.9,3.15
5/22/15,33.134998,23656,0.39,,13.9,3.15
5/26/15,32.404999,23656,0.39,,13.9,3.15
5/27/15,33.009998,23656,0.39,,13.9,3.15
5/28/15,32.945,23656,0.39,,13.9,3.15
5/29/15,32.57,23656,0.39,,13.9,3.15
6/1/15,32.634998,23656,0.39,,13.9,3.15
6/2/15,32.490002,23656,0.39,,13.9,3.15
6/3/15,32.529999,23656,0.39,,13.9,3.15
6/4/15,32.34,23656,0.39,,13.9,3.15
6/5/15,32.162498,23656,0.39,,13.9,3.15
6/8/15,31.950001,23656,0.39,,13.9,3.15
6/9/15,31.855,23656,0.39,,13.9,3.15
6/10/15,32.220001,23656,0.39,,13.9,3.15
6/11/15,32.147499,23656,0.39,,13.9,3.15
6/12/15,31.7925,23656,0.39,,13.9,3.15
6/15/15,31.73,23656,0.39,,13.9,3.15
6/16/15,31.9,23656,0.39,,13.9,3.15
6/17/15,31.825001,23656,0.39,,13.9,3.15
6/18/15,31.969999,23656,0.39,,13.9,3.15
6/19/15,31.65,23656,0.39,,13.9,3.15
6/22/15,31.9025,23656,0.39,,13.9,3.15
6/23/15,31.7575,23656,0.39,,13.9,3.15
6/24/15,32.0275,23656,0.39,,13.9,3.15
6/25/15,31.875,23656,0.39,,13.9,3.15
6/26/15,31.6875,23656,0.39,,13.9,3.15
6/29/15,31.1325,23656,0.39,,13.9,3.15
6/30/15,31.3575,19681,0.41,,13.14,2.99
7/1/15,31.65,19681,0.41,,13.14,2.99
7/2/15,31.610001,19681,0.41,,13.14,2.99
7/6/15,31.5,19681,0.41,,13.14,2.99
7/7/15,31.422501,19681,0.41,,13.14,2.99
7/8/15,30.6425,19681,0.41,,13.14,2.99
7/9/15,30.0175,19681,0.41,,13.14,2.99
7/10/15,30.82,19681,0.41,,13.14,2.99
7/13/15,31.415001,19681,0.41,,13.14,2.99
7/14/15,31.4025,19681,0.41,,13.14,2.99
7/15/15,31.705,19681,0.41,,13.14,2.99
7/16/15,32.127499,19681,0.41,,13.14,2.99
7/17/15,32.404999,19681,0.41,,13.14,2.99
7/20/15,33.017502,19681,0.41,,13.14,2.99
7/21/15,32.6875,19681,0.41,,13.14,2.99
7/22/15,31.305,19681,0.41,,13.14,2.99
7/23/15,31.290001,19681,0.41,,13.14,2.99
7/24/15,31.125,19681,0.41,,13.14,2.99
7/27/15,30.692499,19681,0.41,,13.14,2.99
7/28/15,30.844999,19681,0.41,,13.14,2.99
7/29/15,30.747499,19681,0.41,,13.14,2.99
7/30/15,30.592501,19681,0.41,,13.14,2.99
7/31/15,30.325001,19681,0.41,,13.14,2.99
8/3/15,29.610001,19681,0.41,,13.14,2.99
8/4/15,28.66,19681,0.41,,13.14,2.99
8/5/15,28.85,19681,0.41,,13.14,2.99
8/6/15,28.782499,19681,0.41,,13.14,2.99
8/7/15,28.879999,19681,0.41,,13.14,2.99
8/10/15,29.93,19681,0.41,,13.14,2.99
8/11/15,28.372499,19681,0.41,,13.14,2.99
8/12/15,28.809999,19681,0.41,,13.14,2.99
8/13/15,28.7875,19681,0.41,,13.14,2.99
8/14/15,28.99,19681,0.41,,13.14,2.99
8/17/15,29.290001,19681,0.41,,13.14,2.99
8/18/15,29.125,19681,0.41,,13.14,2.99
8/19/15,28.752501,19681,0.41,,13.14,2.99
8/20/15,28.1625,19681,0.41,,13.14,2.99
8/21/15,26.440001,19681,0.41,,13.14,2.99
8/24/15,25.780001,19681,0.41,,13.14,2.99
8/25/15,25.934999,19681,0.41,,13.14,2.99
8/26/15,27.422501,19681,0.41,,13.14,2.99
8/27/15,28.23,19681,0.41,,13.14,2.99
8/28/15,28.3225,19681,0.41,,13.14,2.99
8/31/15,28.190001,19681,0.41,,13.14,2.99
9/1/15,26.93,19681,0.41,,13.14,2.99
9/2/15,28.084999,19681,0.41,,13.14,2.99
9/3/15,27.592501,19681,0.41,,13.14,2.99
9/4/15,27.317499,19681,0.41,,13.14,2.99
9/8/15,28.077499,19681,0.41,,13.14,2.99
9/9/15,27.5375,19681,0.41,,13.14,2.99
9/10/15,28.1425,19681,0.41,,13.14,2.99
9/11/15,28.5525,19681,0.41,,13.14,2.99
9/14/15,28.827499,19681,0.41,,13.14,2.99
9/15/15,29.07,19681,0.41,,13.14,2.99
9/16/15,29.102501,19681,0.41,,13.14,2.99
9/17/15,28.48,19681,0.41,,13.14,2.99
9/18/15,28.362499,19681,0.41,,13.14,2.99
9/21/15,28.8025,19681,0.41,,13.14,2.99
9/22/15,28.35,19681,0.41,,13.14,2.99
9/23/15,28.58,19681,0.41,,13.14,2.99
9/24/15,28.75,19681,0.41,,13.14,2.99
