,Date,Close,tnote,tbill,Fed_rate,GDP,GDP_growth,CPI
2574,2021-02-19,129.869995,1.34,0.07,0.07,22313.85,5.67110719,263.346
2575,2021-02-22,126.0,1.37,0.06,0.07,22313.85,5.67110719,263.346
2576,2021-02-23,125.860001,1.37,0.08,0.07,22313.85,5.67110719,263.346
2577,2021-02-24,125.349998,1.38,0.08,0.07,22313.85,5.67110719,263.346
2578,2021-02-25,120.989998,1.54,0.09,0.07,22313.85,5.67110719,263.346
2579,2021-02-26,121.260002,1.44,0.08,0.07,22313.85,5.67110719,263.346
2580,2021-03-01,127.790001,1.45,0.08,0.07,22313.85,5.67110719,265.028
2581,2021-03-02,125.120003,1.42,0.08,0.07,22313.85,5.67110719,265.028
2582,2021-03-03,122.059998,1.47,0.08,0.07,22313.85,5.67110719,265.028
2583,2021-03-04,120.129997,1.54,0.08,0.07,22313.85,5.67110719,265.028
2584,2021-03-05,121.419998,1.56,0.08,0.07,22313.85,5.67110719,265.028
2585,2021-03-08,116.360001,1.59,0.09,0.07,22313.85,5.67110719,265.028
2586,2021-03-09,121.089996,1.55,0.1,0.07,22313.85,5.67110719,265.028
2587,2021-03-10,119.980003,1.53,0.08,0.07,22313.85,5.67110719,265.028
2588,2021-03-11,121.959999,1.54,0.08,0.07,22313.85,5.67110719,265.028
2589,2021-03-12,121.029999,1.64,0.09,0.07,22313.85,5.67110719,265.028
2590,2021-03-15,123.989998,1.62,0.08,0.07,22313.85,5.67110719,265.028
2591,2021-03-16,125.57,1.62,0.07,0.07,22313.85,5.67110719,265.028
2592,2021-03-17,124.760002,1.63,0.07,0.07,22313.85,5.67110719,265.028
2593,2021-03-18,120.529999,1.71,0.08,0.07,22313.85,5.67110719,265.028
2594,2021-03-19,119.989998,1.74,0.07,0.07,22313.85,5.67110719,265.028
2595,2021-03-22,123.389999,1.69,0.06,0.07,22313.85,5.67110719,265.028
2596,2021-03-23,122.540001,1.63,0.08,0.07,22313.85,5.67110719,265.028
2597,2021-03-24,120.089996,1.62,0.07,0.07,22313.85,5.67110719,265.028
2598,2021-03-25,120.589996,1.63,0.07,0.07,22313.85,5.67110719,265.028
2599,2021-03-26,121.209999,1.67,0.06,0.07,22313.85,5.67110719,265.028
2600,2021-03-29,121.389999,1.73,0.06,0.07,22313.85,5.67110719,265.028
2601,2021-03-30,119.900002,1.73,0.06,0.07,22313.85,5.67110719,265.028
2602,2021-03-31,122.150002,1.74,0.07,0.06,22313.85,5.67110719,265.028
2603,2021-04-01,123.0,1.69,0.06,0.07,23046.934,5.67110719,266.727
2604,2021-04-05,125.900002,1.73,0.06,0.07,23046.934,5.67110719,266.727
2605,2021-04-06,126.209999,1.67,0.06,0.07,23046.934,5.67110719,266.727
2606,2021-04-07,127.900002,1.68,0.06,0.07,23046.934,5.67110719,266.727
2607,2021-04-08,130.360001,1.64,0.05,0.07,23046.934,5.67110719,266.727
2608,2021-04-09,133.0,1.67,0.06,0.07,23046.934,5.67110719,266.727
2609,2021-04-12,131.240005,1.69,0.06,0.07,23046.934,5.67110719,266.727
2610,2021-04-13,134.429993,1.64,0.06,0.07,23046.934,5.67110719,266.727
2611,2021-04-14,132.029999,1.64,0.06,0.07,23046.934,5.67110719,266.727
2612,2021-04-15,134.5,1.56,0.06,0.07,23046.934,5.67110719,266.727
2613,2021-04-16,134.160004,1.59,0.06,0.07,23046.934,5.67110719,266.727
2614,2021-04-19,134.839996,1.61,0.08,0.07,23046.934,5.67110719,266.727
2615,2021-04-20,133.110001,1.58,0.07,0.07,23046.934,5.67110719,266.727
2616,2021-04-21,133.5,1.57,0.07,0.07,23046.934,5.67110719,266.727
